learner_id,course_id,activity_type,study_duration_minutes,activity_date
L00801,C00434,complete,22,2026-01-28
L00104,C00206,skip,218,2025-09-12
L00875,C00223,enroll,210,2026-01-20
L00847,C00382,enroll,48,2026-02-06
L00620,C00373,complete,126,2026-08-04
L00725,C00183,complete,202,2026-01-09
L00786,C00337,like,124,2025-11-23
L00703,C00075,skip,199,2026-02-17
L00710,C00234,add_to_wishlist,219,2026-01-04
L00701,C00273,complete,225,2026-04-26
L01000,C00290,like,45,2025-12-26
L00417,C00021,skip,139,2026-06-23
L00958,C00369,complete,32,2026-04-15
L00042,C00070,enroll,99,2026-04-18
L00732,C00308,add_to_wishlist,182,2026-06-17
L00913,C00131,complete,91,2026-06-14
L00908,C00425,skip,223,2026-02-21
L00311,C00252,add_to_wishlist,85,2026-07-01
L00252,C00014,enroll,81,2026-02-21
L00261,C00418,enroll,105,2026-07-31
L00009,C00006,enroll,0,2026-08-15
L00432,C00183,enroll,37,2026-02-21
L00938,C00133,enroll,43,2026-04-02
L00237,C00102,add_to_wishlist,208,2025-11-30
L00759,C00166,skip,1,2026-01-03
L00165,C00015,add_to_wishlist,100,2026-05-29
L00835,C00102,enroll,141,2025-09-16
L00502,C00157,complete,17,2026-01-21
L00411,C00360,skip,222,2025-12-11
L00738,C00033,complete,82,2026-06-20
L00727,C00207,skip,229,2025-09-20
L00313,C00164,skip,222,2026-04-22
L00871,C00269,complete,209,2026-01-10
L00353,C00007,like,149,2026-07-22
L00771,C00210,complete,107,2025-10-05
L00546,C00372,enroll,109,2026-04-10
L00863,C00015,like,83,2025-09-07
L00820,C00002,skip,164,2026-07-11
L00106,C00414,like,173,2026-02-17
L00261,C00259,complete,33,2026-01-10
L00621,C00297,skip,173,2026-06-20
L00570,C00227,complete,152,2026-08-01
L00796,C00493,add_to_wishlist,44,2026-07-10
L00676,C00201,skip,209,2026-01-21
L00761,C00139,like,166,2026-03-18
L00160,C00491,enroll,175,2025-12-23
L00897,C00317,like,39,2026-02-10
L00925,C00441,like,104,2025-10-10
L00612,C00414,add_to_wishlist,199,2026-03-08
L00643,C00340,skip,199,2026-06-09
L00344,C00114,enroll,104,2026-06-27
L00359,C00036,complete,234,2026-07-02
L00081,C00276,complete,114,2025-09-27
L00317,C00310,enroll,97,2025-12-18
L00522,C00357,skip,145,2026-06-27
L00433,C00028,complete,224,2026-09-02
L00158,C00174,enroll,152,2026-06-20
L00398,C00356,add_to_wishlist,7,2025-12-12
L00719,C00100,complete,142,2025-11-24
L00890,C00318,like,48,2026-07-10
L00333,C00263,enroll,137,2026-03-08
L00483,C00218,skip,133,2025-09-30
L00248,C00108,like,168,2025-12-14
L00091,C00018,like,125,2025-10-17
L00243,C00037,like,80,2026-04-28
L00231,C00006,add_to_wishlist,166,2026-06-29
L00426,C00237,like,42,2025-09-17
L00904,C00150,complete,28,2026-08-02
L00795,C00228,enroll,184,2025-12-20
L00950,C00234,like,167,2026-05-18
L00696,C00333,complete,215,2026-08-03
L00097,C00064,complete,161,2026-08-12
L00123,C00019,skip,113,2026-04-12
L00175,C00164,add_to_wishlist,215,2025-10-07
L00697,C00046,like,175,2026-07-03
L00280,C00350,add_to_wishlist,47,2026-07-04
L00768,C00050,skip,200,2026-06-23
L00139,C00191,complete,125,2026-08-15
L00553,C00348,enroll,126,2025-11-25
L00695,C00313,like,46,2026-07-12
L00512,C00159,skip,143,2025-11-07
L00329,C00384,like,132,2026-01-06
L00977,C00082,enroll,94,2025-09-05
L00483,C00067,add_to_wishlist,42,2026-08-27
L00634,C00330,complete,96,2026-01-08
L00177,C00112,enroll,36,2026-06-10
L00503,C00344,skip,101,2026-07-07
L00129,C00263,skip,213,2026-02-04
L00658,C00043,add_to_wishlist,34,2025-12-03
L00428,C00320,like,219,2025-09-20
L00026,C00293,skip,187,2026-08-09
L00984,C00082,add_to_wishlist,121,2026-02-27
L00638,C00012,like,200,2025-10-29
L00019,C00415,add_to_wishlist,39,2026-08-15
L00418,C00083,complete,187,2026-05-25
L00920,C00447,skip,39,2025-09-14
L00621,C00029,like,125,2026-06-17
L00899,C00430,skip,80,2026-07-21
L00360,C00273,add_to_wishlist,193,2026-01-08
L00392,C00319,skip,192,2026-07-04
L00143,C00038,enroll,47,2026-01-09
L00599,C00488,like,21,2026-02-07
L00970,C00346,add_to_wishlist,75,2026-06-17
L00346,C00040,skip,118,2026-07-24
L00577,C00381,like,191,2026-07-05
L00155,C00162,enroll,200,2025-10-21
L00934,C00187,complete,86,2026-04-27
L00466,C00016,like,105,2025-10-27
L00260,C00173,complete,194,2026-01-14
L00412,C00100,complete,116,2026-01-15
L00027,C00180,complete,121,2026-06-16
L00675,C00100,add_to_wishlist,118,2025-09-29
L00864,C00045,enroll,30,2025-10-09
L00650,C00409,complete,148,2026-01-06
L00926,C00347,like,235,2025-11-26
L00866,C00076,like,174,2025-11-28
L00837,C00466,like,213,2026-08-21
L00692,C00019,enroll,44,2026-09-04
L00497,C00084,add_to_wishlist,118,2025-12-29
L00989,C00066,like,34,2026-03-16
L00495,C00123,like,41,2025-12-09
L00293,C00078,enroll,115,2026-01-10
L00041,C00389,add_to_wishlist,40,2025-11-20
L00038,C00471,skip,153,2026-01-11
L00640,C00232,add_to_wishlist,182,2026-03-17
L00610,C00355,skip,184,2026-07-25
L00084,C00440,complete,15,2025-10-25
L00612,C00158,add_to_wishlist,50,2026-01-18
L00849,C00227,enroll,212,2026-02-27
L00791,C00014,skip,155,2026-07-16
L00549,C00174,add_to_wishlist,165,2026-08-12
L00083,C00034,skip,74,2025-11-10
L00077,C00252,enroll,189,2026-02-12
L00713,C00408,add_to_wishlist,193,2026-08-13
L00192,C00130,add_to_wishlist,179,2026-02-26
L00781,C00411,enroll,54,2026-06-19
L00638,C00451,skip,70,2026-06-18
L00951,C00198,complete,109,2026-05-23
L00283,C00132,complete,48,2026-01-23
L00492,C00260,add_to_wishlist,143,2026-04-29
L00064,C00499,add_to_wishlist,84,2026-02-19
L00538,C00069,enroll,191,2026-04-14
L00124,C00291,complete,150,2026-02-13
L00836,C00369,like,187,2026-05-12
L00092,C00435,enroll,109,2026-07-21
L00763,C00284,complete,228,2026-01-16
L00086,C00254,like,192,2026-04-01
L00855,C00145,like,167,2026-05-31
L00748,C00006,complete,53,2026-04-17
L00370,C00089,add_to_wishlist,104,2025-12-18
L00449,C00471,enroll,93,2026-07-22
L00902,C00142,like,139,2026-08-23
L00668,C00471,skip,38,2025-12-18
L00594,C00410,skip,29,2026-01-05
L00987,C00025,enroll,166,2026-05-04
L00491,C00239,complete,155,2026-01-18
L00522,C00073,complete,225,2026-04-29
L00962,C00176,add_to_wishlist,229,2026-03-10
L00716,C00250,skip,203,2026-01-22
L00052,C00229,enroll,130,2026-07-18
L00081,C00199,complete,89,2026-08-21
L00413,C00116,like,40,2026-03-18
L00656,C00169,enroll,34,2026-08-26
L00421,C00026,enroll,226,2026-02-21
L00368,C00218,skip,230,2025-10-21
L00013,C00065,add_to_wishlist,190,2026-02-21
L00744,C00219,add_to_wishlist,227,2026-06-17
L00104,C00480,complete,1,2026-07-06
L00461,C00292,enroll,229,2026-02-08
L00006,C00493,complete,138,2025-12-25
L00321,C00040,add_to_wishlist,114,2026-02-26
L00726,C00346,skip,185,2026-03-12
L00874,C00048,enroll,156,2026-08-25
L00213,C00400,enroll,105,2026-08-20
L00028,C00363,skip,215,2026-05-14
L00237,C00077,add_to_wishlist,79,2026-07-16
L00502,C00404,complete,126,2026-07-22
L00962,C00221,like,139,2026-07-08
L00247,C00094,enroll,91,2026-03-04
L00695,C00065,like,57,2026-05-17
L00956,C00046,enroll,94,2026-03-08
L00157,C00337,enroll,172,2026-04-29
L00802,C00362,enroll,117,2025-12-16
L00385,C00283,like,123,2025-09-29
L00059,C00337,add_to_wishlist,235,2026-02-05
L00904,C00388,like,41,2026-05-18
L00907,C00048,enroll,192,2025-10-18
L00162,C00323,add_to_wishlist,174,2026-06-04
L00882,C00185,add_to_wishlist,228,2026-07-30
L00333,C00270,enroll,212,2025-09-30
L00032,C00302,like,21,2025-11-15
L00543,C00358,add_to_wishlist,149,2025-09-12
L00445,C00470,enroll,195,2025-11-05
L00798,C00359,skip,99,2026-01-16
L00888,C00031,add_to_wishlist,69,2026-04-09
L00779,C00499,like,71,2026-02-13
L00271,C00192,enroll,183,2026-05-03
L00937,C00353,skip,122,2026-07-18
L00128,C00169,like,14,2025-12-02
L00013,C00395,like,25,2026-06-07
L00223,C00107,complete,191,2025-10-12
L00234,C00254,add_to_wishlist,188,2025-11-22
L00195,C00223,enroll,32,2025-11-24
L00396,C00151,add_to_wishlist,107,2026-01-03
L00125,C00081,add_to_wishlist,62,2025-11-05
L00122,C00154,skip,199,2026-07-17
L00493,C00220,skip,207,2026-08-03
L00320,C00119,like,41,2025-09-27
L00019,C00313,add_to_wishlist,235,2026-06-03
L00788,C00272,skip,118,2026-06-24
L00894,C00194,complete,188,2026-07-26
L00819,C00257,like,108,2026-05-06
L00372,C00462,skip,230,2026-01-01
L00373,C00261,like,47,2025-09-17
L00340,C00216,like,47,2026-06-08
L00636,C00210,enroll,32,2025-11-20
L00124,C00389,like,133,2026-07-08
L00432,C00022,add_to_wishlist,82,2026-05-13
L00910,C00154,like,1,2026-06-28
L00238,C00126,add_to_wishlist,35,2026-06-29
L00486,C00203,complete,32,2026-04-03
L00099,C00100,like,70,2025-11-08
L00638,C00113,like,17,2026-01-07
L00632,C00430,add_to_wishlist,21,2026-07-31
L00756,C00284,skip,205,2026-05-09
L00741,C00276,complete,186,2025-11-09
L00118,C00041,like,38,2026-02-01
L00309,C00237,like,68,2025-12-08
L00856,C00420,enroll,154,2026-03-20
L00685,C00062,enroll,161,2025-09-08
L00232,C00344,like,38,2026-04-08
L00243,C00399,enroll,235,2026-08-10
L00743,C00081,complete,152,2026-05-05
L00613,C00271,complete,140,2026-08-18
L00145,C00484,enroll,205,2025-09-27
L00531,C00295,like,119,2025-10-18
L00409,C00012,like,28,2026-02-07
L00177,C00039,add_to_wishlist,28,2026-02-26
L00898,C00059,enroll,200,2026-07-30
L00283,C00312,add_to_wishlist,64,2026-03-11
L00230,C00175,complete,23,2026-05-18
L00413,C00088,enroll,155,2026-06-03
L00996,C00302,add_to_wishlist,231,2026-06-30
L00106,C00136,complete,183,2026-06-28
L00383,C00136,like,183,2026-08-20
L00199,C00395,enroll,149,2026-06-30
L00847,C00051,add_to_wishlist,81,2025-12-19
L00804,C00373,skip,40,2026-06-17
L00434,C00058,complete,159,2025-11-15
L00107,C00180,like,41,2026-08-05
L00587,C00168,enroll,179,2026-08-19
L00831,C00373,complete,11,2026-03-24
L00394,C00172,skip,134,2025-11-19
L00459,C00444,skip,32,2026-03-15
L00082,C00422,add_to_wishlist,59,2026-03-11
L00857,C00449,complete,78,2026-07-18
L00178,C00112,skip,219,2026-06-28
L00199,C00319,skip,144,2026-08-06
L00828,C00042,like,28,2026-09-01
L00386,C00064,add_to_wishlist,133,2025-09-05
L00670,C00005,complete,94,2026-05-27
L00631,C00221,complete,172,2026-07-01
L00593,C00471,enroll,138,2026-01-12
L00184,C00482,add_to_wishlist,84,2026-06-07
L00114,C00151,like,19,2025-12-18
L00267,C00101,complete,5,2026-05-25
L00789,C00342,like,70,2026-09-03
L00307,C00473,add_to_wishlist,224,2026-03-17
L00259,C00138,like,196,2026-09-01
L00011,C00412,skip,159,2026-08-20
L00092,C00202,add_to_wishlist,60,2025-10-05
L00221,C00364,complete,126,2025-12-19
L00201,C00074,complete,132,2025-10-09
L00660,C00032,like,127,2026-03-27
L00236,C00032,complete,118,2026-08-01
L00684,C00268,enroll,141,2025-10-22
L00744,C00099,add_to_wishlist,90,2026-07-23
L00135,C00116,complete,54,2026-02-21
L00349,C00015,complete,121,2026-09-02
L00950,C00187,like,170,2026-03-27
L00425,C00357,like,138,2026-01-10
L00270,C00202,add_to_wishlist,0,2026-03-12
L00868,C00170,like,42,2026-08-14
L00559,C00137,skip,145,2026-08-05
L00301,C00178,like,89,2026-05-25
L00890,C00493,like,115,2026-04-22
L00148,C00182,enroll,128,2025-11-19
L00811,C00288,complete,1,2026-06-06
L00574,C00310,add_to_wishlist,200,2026-06-17
L00318,C00245,like,40,2026-02-05
L00624,C00414,enroll,172,2026-05-12
L00834,C00205,complete,223,2025-12-14
L00561,C00317,skip,70,2026-01-16
L00554,C00456,skip,134,2026-07-23
L00710,C00121,complete,58,2026-02-23
L00688,C00369,add_to_wishlist,100,2026-08-03
L00773,C00440,like,91,2026-04-16
L00708,C00480,skip,13,2025-12-14
L00751,C00202,skip,238,2025-09-15
L00953,C00077,like,176,2026-03-09
L00067,C00250,like,79,2026-05-21
L00459,C00320,skip,136,2026-02-19
L00003,C00310,skip,31,2025-09-18
L00976,C00474,like,183,2026-04-19
L00221,C00043,add_to_wishlist,201,2025-11-03
L00108,C00286,add_to_wishlist,188,2026-05-24
L00666,C00238,add_to_wishlist,135,2026-01-12
L00391,C00257,enroll,64,2025-10-13
L00806,C00053,skip,140,2026-07-21
L00408,C00304,add_to_wishlist,48,2026-05-29
L00246,C00211,skip,173,2026-07-23
L00029,C00406,add_to_wishlist,87,2026-01-26
L00191,C00247,enroll,48,2026-05-26
L00595,C00108,like,100,2026-03-31
L00113,C00010,enroll,47,2025-12-02
L00523,C00500,enroll,32,2026-09-04
L00661,C00292,like,239,2026-08-07
L00707,C00148,enroll,238,2026-02-08
L00307,C00434,add_to_wishlist,17,2025-10-25
L00347,C00190,add_to_wishlist,209,2026-03-28
L00421,C00003,enroll,188,2025-09-29
L00146,C00216,complete,145,2026-01-01
L00017,C00378,like,61,2025-09-25
L00093,C00431,like,20,2025-12-06
L00399,C00328,complete,34,2025-10-13
L00294,C00278,enroll,29,2026-07-07
L00649,C00431,skip,135,2025-09-11
L00625,C00426,add_to_wishlist,31,2026-01-21
L00776,C00015,complete,192,2026-04-17
L00060,C00459,complete,190,2026-01-23
L00717,C00237,complete,206,2026-04-07
L00622,C00051,add_to_wishlist,24,2026-08-11
L00561,C00112,skip,39,2025-12-11
L00864,C00271,skip,29,2026-08-08
L00501,C00017,add_to_wishlist,101,2026-07-24
L00140,C00489,add_to_wishlist,109,2026-01-11
L00197,C00451,like,143,2026-03-15
L00337,C00041,complete,147,2025-11-09
L00814,C00225,enroll,5,2026-01-09
L00577,C00262,skip,57,2026-03-18
L00856,C00280,complete,2,2026-03-20
L00410,C00179,like,51,2026-02-28
L00272,C00455,skip,197,2025-11-25
L00677,C00170,like,5,2025-12-22
L00846,C00027,complete,34,2025-09-29
L00847,C00148,add_to_wishlist,34,2026-07-17
L00427,C00351,complete,162,2026-05-19
L00932,C00215,complete,239,2025-09-22
L00489,C00110,like,179,2025-12-20
L00481,C00329,add_to_wishlist,222,2026-03-02
L00943,C00210,like,129,2026-04-12
L00770,C00404,enroll,77,2026-08-04
L00858,C00097,add_to_wishlist,116,2026-06-04
L00368,C00278,add_to_wishlist,57,2026-03-31
L00727,C00104,like,43,2025-09-30
L00126,C00436,add_to_wishlist,94,2026-05-09
L00076,C00132,skip,82,2026-08-10
L00526,C00500,skip,108,2026-07-24
L00901,C00133,skip,183,2025-11-01
L00979,C00462,like,199,2026-06-04
L00773,C00403,skip,216,2026-05-05
L00252,C00243,enroll,2,2026-06-21
L00599,C00358,skip,141,2026-06-22
L00831,C00346,complete,64,2026-08-13
L00965,C00314,enroll,179,2026-02-12
L00811,C00421,enroll,133,2025-12-20
L00548,C00351,like,98,2026-08-12
L00151,C00320,like,227,2025-11-09
L00007,C00235,enroll,163,2025-12-05
L00281,C00379,complete,120,2025-12-25
L00341,C00228,skip,57,2026-06-17
L00043,C00190,enroll,155,2025-09-16
L00533,C00385,like,220,2026-08-21
L00491,C00375,skip,144,2026-04-19
L00090,C00130,add_to_wishlist,123,2026-05-13
L00775,C00047,like,190,2025-10-05
L00486,C00002,complete,105,2026-01-20
L00794,C00270,like,123,2026-06-06
L00854,C00127,add_to_wishlist,141,2026-07-08
L00824,C00376,enroll,1,2026-04-27
L00659,C00500,complete,202,2026-06-15
L00245,C00426,add_to_wishlist,236,2025-11-16
L00834,C00495,enroll,100,2026-04-10
L00636,C00331,add_to_wishlist,57,2025-10-05
L00345,C00346,like,75,2026-04-28
L00910,C00028,add_to_wishlist,182,2025-12-22
L00757,C00162,like,64,2025-09-27
L00725,C00274,skip,20,2025-11-30
L00007,C00428,skip,54,2025-09-24
L00943,C00056,like,239,2026-03-26
L00567,C00215,skip,107,2026-04-21
L00416,C00008,add_to_wishlist,10,2026-06-11
L00979,C00228,add_to_wishlist,77,2026-07-18
L00028,C00258,add_to_wishlist,106,2025-12-29
L00427,C00137,enroll,4,2026-07-12
L00295,C00344,enroll,103,2026-02-03
L00641,C00215,add_to_wishlist,182,2025-12-29
L00572,C00043,skip,32,2026-05-29
L00141,C00191,like,67,2026-03-21
L00693,C00195,skip,156,2026-04-18
L00656,C00169,like,113,2025-10-01
L00686,C00500,skip,95,2026-01-31
L00552,C00343,enroll,11,2026-02-11
L00861,C00275,like,202,2026-01-27
L00364,C00106,skip,28,2026-02-03
L00667,C00090,skip,170,2025-12-31
L00283,C00321,like,41,2026-07-14
L00699,C00271,enroll,126,2025-11-12
L00600,C00182,like,203,2025-10-23
L00317,C00237,complete,82,2026-01-13
L00567,C00135,enroll,15,2026-01-05
L00383,C00395,enroll,63,2026-03-13
L00192,C00017,like,217,2025-11-04
L00667,C00283,add_to_wishlist,4,2025-10-25
L00088,C00052,skip,92,2026-08-30
L00751,C00490,skip,25,2026-04-29
L00437,C00056,like,50,2026-03-18
L00034,C00154,add_to_wishlist,230,2026-01-19
L00520,C00353,add_to_wishlist,137,2025-10-21
L00203,C00080,skip,166,2025-12-13
L00036,C00198,like,134,2025-11-17
L00332,C00261,skip,154,2026-03-20
L00765,C00198,like,35,2025-12-08
L00461,C00148,add_to_wishlist,107,2025-11-03
L00056,C00006,add_to_wishlist,101,2025-11-04
L00518,C00072,enroll,78,2026-05-11
L00860,C00377,like,70,2026-06-02
L00810,C00387,complete,202,2025-09-10
L00786,C00451,enroll,83,2026-06-26
L00308,C00102,add_to_wishlist,123,2026-03-16
L00091,C00267,skip,170,2026-06-22
L00911,C00295,skip,49,2025-11-28
L00257,C00095,like,92,2026-03-01
L00578,C00221,like,27,2025-11-30
L00564,C00430,like,71,2026-01-20
L00929,C00470,like,108,2026-05-09
L00443,C00299,skip,68,2025-10-08
L00863,C00055,like,156,2026-01-18
L00673,C00064,add_to_wishlist,71,2026-01-13
L00497,C00391,like,178,2026-08-12
L00975,C00118,add_to_wishlist,236,2025-12-26
L00333,C00118,add_to_wishlist,231,2026-03-12
L00868,C00149,add_to_wishlist,115,2026-01-30
L00566,C00003,skip,57,2025-10-03
L00076,C00413,add_to_wishlist,138,2026-08-09
L00681,C00160,add_to_wishlist,240,2026-07-30
L00161,C00185,add_to_wishlist,237,2025-11-12
L00269,C00054,complete,136,2026-06-15
L00890,C00083,add_to_wishlist,197,2026-01-25
L00983,C00197,add_to_wishlist,169,2025-12-22
L00331,C00061,skip,180,2026-08-06
L00320,C00016,enroll,144,2026-05-30
L00853,C00044,like,68,2026-02-17
L00106,C00223,add_to_wishlist,79,2025-11-29
L00134,C00027,like,36,2026-03-24
L00256,C00318,like,49,2025-12-17
L00758,C00019,add_to_wishlist,215,2026-01-31
L00878,C00303,like,90,2025-10-11
L00308,C00218,like,63,2026-07-31
L00729,C00084,like,25,2025-11-14
L00184,C00090,complete,90,2025-09-15
L00588,C00371,complete,162,2025-11-09
L00764,C00082,enroll,87,2026-07-18
L00430,C00126,complete,200,2026-02-21
L00776,C00388,skip,199,2026-02-19
L00799,C00375,skip,130,2025-10-04
L00763,C00392,complete,18,2026-09-04
L00406,C00266,skip,127,2026-05-30
L00876,C00496,like,223,2026-03-21
L00342,C00195,complete,148,2026-04-04
L00345,C00175,like,159,2026-04-22
L00480,C00020,enroll,59,2026-06-27
L00683,C00112,add_to_wishlist,24,2025-10-22
L00960,C00061,enroll,124,2026-02-09
L00420,C00447,add_to_wishlist,65,2025-12-29
L00007,C00298,like,130,2026-01-27
L00300,C00417,skip,6,2026-08-17
L00384,C00003,skip,75,2025-10-27
L00081,C00039,complete,26,2026-04-28
L00396,C00229,like,197,2025-12-08
L00638,C00339,like,194,2026-07-11
L00183,C00047,complete,238,2026-03-24
L00821,C00347,complete,66,2026-01-10
L00783,C00234,like,127,2025-10-15
L00936,C00370,add_to_wishlist,117,2025-10-26
L00323,C00026,like,2,2025-10-13
L00771,C00231,complete,199,2026-05-28
L00012,C00040,skip,74,2026-03-31
L00142,C00028,enroll,148,2025-12-05
L00253,C00449,complete,148,2026-04-30
L00639,C00171,add_to_wishlist,115,2026-08-01
L00124,C00416,enroll,80,2026-07-18
L00968,C00267,enroll,86,2026-02-21
L00026,C00348,enroll,183,2026-04-25
L00208,C00448,enroll,73,2026-03-09
L00819,C00172,enroll,104,2026-01-30
L00627,C00270,like,146,2026-04-28
L00986,C00151,complete,9,2025-12-29
L00412,C00388,add_to_wishlist,221,2025-12-18
L00370,C00394,like,131,2026-06-05
L00946,C00217,skip,135,2026-04-01
L00476,C00132,enroll,102,2026-06-06
L00183,C00329,add_to_wishlist,179,2026-03-27
L00609,C00415,enroll,182,2026-01-10
L00803,C00009,add_to_wishlist,35,2026-03-20
L00670,C00129,add_to_wishlist,232,2026-06-13
L00150,C00056,add_to_wishlist,220,2025-11-14
L00910,C00184,add_to_wishlist,111,2026-03-16
L00507,C00135,like,47,2026-03-15
L00722,C00106,enroll,19,2026-03-14
L00554,C00247,add_to_wishlist,145,2026-04-18
L00864,C00487,skip,222,2026-03-25
L00177,C00404,skip,192,2026-05-19
L00074,C00453,skip,77,2026-05-29
L00821,C00337,enroll,222,2026-02-23
L00883,C00059,skip,147,2025-11-29
L00929,C00413,skip,56,2026-05-20
L00028,C00122,enroll,107,2026-02-04
L00523,C00164,add_to_wishlist,40,2025-11-21
L00398,C00138,add_to_wishlist,203,2026-06-30
L00897,C00083,add_to_wishlist,8,2025-12-19
L00433,C00360,enroll,4,2026-04-20
L00651,C00493,like,227,2026-03-13
L00532,C00446,complete,155,2026-08-07
L00053,C00078,enroll,125,2026-08-06
L00415,C00008,like,9,2026-05-08
L00340,C00111,skip,80,2026-05-19
L00181,C00061,skip,12,2026-01-30
L00285,C00042,like,108,2026-06-14
L00908,C00201,enroll,239,2026-04-11
L00037,C00031,like,147,2026-08-28
L00383,C00208,like,18,2026-02-08
L00768,C00486,complete,240,2026-05-05
L00852,C00012,enroll,88,2025-09-29
L00526,C00354,complete,45,2025-09-09
L00522,C00086,enroll,7,2026-05-02
L00047,C00392,like,51,2026-02-02
L00813,C00103,like,171,2025-11-07
L00156,C00260,skip,161,2026-04-16
L00349,C00159,complete,132,2025-11-20
L00937,C00294,like,151,2025-11-18
L00771,C00242,like,48,2025-10-24
L00630,C00222,skip,228,2026-01-02
L00961,C00025,complete,114,2025-12-22
L00989,C00499,add_to_wishlist,153,2025-10-27
L00591,C00070,add_to_wishlist,71,2025-10-04
L00665,C00368,add_to_wishlist,77,2026-07-03
L00185,C00307,add_to_wishlist,55,2026-02-02
L00841,C00416,enroll,2,2025-09-29
L00900,C00283,like,25,2026-07-12
L00283,C00041,skip,73,2026-05-30
L00737,C00210,skip,182,2026-08-31
L00635,C00121,skip,153,2025-12-16
L00360,C00006,like,108,2025-09-20
L00668,C00069,complete,129,2026-05-30
L00604,C00243,like,222,2026-03-06
L00712,C00126,skip,196,2025-11-10
L00761,C00467,enroll,21,2026-04-05
L00909,C00349,skip,73,2026-03-09
L00412,C00186,enroll,48,2025-11-04
L00356,C00315,skip,113,2025-12-09
L00011,C00209,skip,158,2026-06-30
L00159,C00338,skip,173,2026-06-07
L00524,C00092,like,212,2025-10-31
L00405,C00412,skip,39,2026-07-07
L00236,C00486,like,0,2026-01-08
L00493,C00480,skip,8,2025-10-09
L00874,C00281,add_to_wishlist,232,2025-09-22
L00749,C00269,skip,24,2026-07-08
L00279,C00492,like,128,2025-11-26
L00419,C00311,skip,90,2025-11-04
L00766,C00235,skip,51,2025-12-19
L00059,C00437,enroll,181,2026-04-01
L00861,C00425,like,201,2025-10-03
L00278,C00244,enroll,127,2026-06-19
L00415,C00339,complete,173,2025-12-26
L00602,C00427,add_to_wishlist,222,2026-04-16
L00547,C00245,add_to_wishlist,212,2026-05-30
L00150,C00308,enroll,184,2026-05-12
L00050,C00049,add_to_wishlist,233,2025-09-15
L00741,C00020,add_to_wishlist,211,2026-05-17
L00590,C00313,like,215,2026-02-23
L00967,C00055,add_to_wishlist,83,2026-02-09
L00521,C00007,add_to_wishlist,185,2026-08-23
L00346,C00141,skip,211,2026-03-12
L00485,C00046,enroll,1,2025-09-30
L00925,C00156,complete,183,2026-06-24
L00077,C00051,skip,119,2026-04-26
L00863,C00372,like,210,2026-04-05
L00367,C00453,enroll,112,2025-12-29
L00280,C00256,skip,161,2026-07-13
L00812,C00074,complete,33,2025-10-20
L00918,C00348,like,96,2026-05-15
L00924,C00269,enroll,63,2025-11-17
L00064,C00428,enroll,47,2026-07-06
L00781,C00497,add_to_wishlist,26,2025-11-15
L00566,C00243,like,53,2026-02-18
L00494,C00335,like,48,2025-10-23
L00054,C00369,skip,146,2026-05-14
L01000,C00494,complete,143,2026-06-21
L00920,C00165,like,122,2025-12-30
L00690,C00183,enroll,59,2025-12-25
L00428,C00107,skip,24,2025-11-15
L00779,C00200,like,210,2025-10-11
L00246,C00060,enroll,116,2026-05-02
L00568,C00081,skip,79,2026-03-18
L00976,C00097,skip,112,2026-08-24
L00006,C00162,enroll,122,2026-09-04
L00511,C00427,enroll,24,2025-11-02
L00846,C00373,enroll,85,2026-07-11
L00123,C00088,complete,209,2025-12-20
L00986,C00221,add_to_wishlist,155,2026-02-15
L00898,C00142,skip,144,2025-10-01
L00501,C00098,complete,174,2026-08-01
L00106,C00406,enroll,189,2026-07-24
L00426,C00022,enroll,113,2026-02-21
L00464,C00431,skip,26,2026-05-08
L00724,C00152,enroll,99,2025-12-31
L00499,C00329,like,229,2026-04-09
L00011,C00330,skip,220,2026-08-07
L00828,C00489,skip,212,2026-05-14
L00322,C00424,like,5,2025-10-05
L00822,C00032,complete,192,2026-02-06
L00139,C00430,skip,146,2025-11-29
L00743,C00180,enroll,193,2026-03-10
L00295,C00068,enroll,11,2026-07-30
L00476,C00180,enroll,199,2025-12-09
L00271,C00276,complete,144,2026-08-19
L00570,C00007,enroll,32,2026-09-04
L00132,C00401,add_to_wishlist,201,2025-10-21
L00164,C00310,skip,17,2025-11-02
L00163,C00256,enroll,32,2025-11-03
L00456,C00483,enroll,17,2026-08-13
L00937,C00208,complete,104,2026-08-11
L00210,C00237,complete,217,2026-06-17
L00346,C00463,like,72,2025-11-04
L00009,C00376,add_to_wishlist,96,2026-05-15
L00891,C00280,like,21,2025-09-29
L00366,C00251,like,169,2026-08-14
L00441,C00176,complete,100,2026-04-24
L00031,C00015,enroll,191,2026-01-18
L00370,C00210,like,161,2026-06-01
L00874,C00180,enroll,27,2026-06-02
L00896,C00418,enroll,229,2026-04-06
L00368,C00177,skip,19,2026-03-31
L00066,C00432,enroll,33,2025-10-20
L00272,C00320,skip,161,2026-02-02
L00999,C00271,skip,40,2026-07-29
L00774,C00498,skip,164,2026-06-09
L00927,C00155,complete,44,2026-07-03
L00310,C00075,complete,181,2026-06-02
L00031,C00363,enroll,171,2025-11-24
L00483,C00085,skip,168,2026-03-30
L00920,C00302,enroll,124,2026-06-13
L00352,C00370,skip,23,2025-11-19
L00599,C00277,complete,206,2026-07-21
L00488,C00054,complete,213,2025-09-22
L00351,C00484,skip,177,2025-12-07
L00844,C00004,complete,230,2026-08-13
L00427,C00174,add_to_wishlist,219,2026-05-04
